date,sku_id,sales
2024-01-01,milk,22
2024-01-02,milk,21
2024-01-03,milk,20
2024-01-04,milk,24
2024-01-05,milk,26
2024-01-06,milk,30
2024-01-07,milk,28
2024-01-08,milk,25
2024-01-09,milk,24
2024-01-10,milk,23
2024-01-11,milk,25
2024-01-12,milk,27
2024-01-13,milk,29
2024-01-14,milk,31
2024-01-15,milk,30
2024-01-16,milk,28
2024-01-17,milk,26
2024-01-18,milk,29
2024-01-19,milk,31
2024-01-20,milk,33
2024-01-21,milk,32
2024-01-22,milk,30
2024-01-23,milk,28
2024-01-24,milk,27
2024-01-25,milk,29
2024-01-26,milk,32
2024-01-27,milk,34
2024-01-28,milk,33
2024-01-29,milk,31
2024-01-30,milk,29
2024-01-31,milk,30
2024-02-01,milk,32
2024-02-02,milk,34
2024-02-03,milk,33
2024-02-04,milk,31
2024-02-05,milk,30
2024-02-06,milk,32
2024-02-07,milk,35
2024-02-08,milk,36
2024-02-09,milk,35
2024-02-10,milk,33
2024-02-11,milk,32
2024-02-12,milk,34
2024-02-13,milk,36
2024-02-14,milk,37
2024-02-15,milk,36
2024-02-16,milk,34
2024-02-17,milk,33
2024-02-18,milk,35
2024-02-19,milk,37
2024-02-20,milk,38
2024-02-21,milk,37
2024-02-22,milk,35
2024-02-23,milk,34
2024-02-24,milk,36
2024-02-25,milk,38
2024-02-26,milk,39
2024-02-27,milk,38
2024-02-28,milk,36
2024-02-29,milk,35
2024-03-01,milk,37
2024-03-02,milk,39
2024-03-03,milk,40
2024-03-04,milk,39
2024-03-05,milk,37
2024-03-06,milk,36
2024-03-07,milk,38
2024-03-08,milk,40
2024-03-09,milk,41
2024-03-10,milk,40
2024-03-11,milk,38
2024-03-12,milk,37
2024-03-13,milk,39
2024-03-14,milk,41
2024-03-15,milk,42
2024-03-16,milk,41
2024-03-17,milk,39
2024-03-18,milk,38
2024-03-19,milk,40
2024-03-20,milk,42
2024-03-21,milk,43
2024-03-22,milk,42
2024-03-23,milk,40
2024-03-24,milk,39
2024-03-25,milk,41
2024-03-26,milk,43
2024-03-27,milk,44
2024-03-28,milk,43
2024-03-29,milk,41
2024-03-30,milk,40
2024-03-31,milk,42
2024-04-01,milk,44
2024-04-02,milk,45
2024-04-03,milk,44
2024-04-04,milk,42
2024-04-05,milk,41
2024-04-06,milk,43
2024-04-07,milk,45
2024-04-08,milk,46
2024-04-09,milk,45
2024-04-10,milk,43
2024-04-11,milk,42
2024-04-12,milk,44
2024-04-13,milk,46
2024-04-14,milk,47
2024-04-15,milk,46
2024-04-16,milk,44
2024-04-17,milk,43
2024-04-18,milk,45
2024-04-19,milk,47
2024-04-20,milk,48
2024-04-21,milk,47
2024-04-22,milk,45
2024-04-23,milk,44
2024-04-24,milk,46
2024-04-25,milk,48
2024-04-26,milk,49
2024-04-27,milk,48
2024-04-28,milk,46
2024-04-29,milk,45
2024-04-30,milk,47
2024-05-01,milk,49
2024-05-02,milk,50
2024-05-03,milk,49
2024-05-04,milk,47
2024-05-05,milk,46
2024-05-06,milk,48
2024-05-07,milk,50
2024-05-08,milk,51
